,Credibility_Rank,Traffic_Rank,Bias_Rank,Factual_Reporting,Questionable,NaNs_Per_Row,Avrg_Per_Row
0,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
1,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
2,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
3,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
4,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
5,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
6,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
7,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
8,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
9,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
10,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
11,1.0,1.0,0.0,1.0,['No Data'],0,0.6
12,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
13,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
14,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
15,-1.0,-1.0,-1.0,-1.0,-0.5714285714285714,0,-0.8
16,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
17,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
18,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
19,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
20,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
21,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
22,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
23,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
24,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
25,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
26,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
27,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
28,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
29,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
30,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
31,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
32,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
33,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
34,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
