"ip","fetch_error","bogon","hostname","anycast","city","region","country","postal","loc","timezone","asn","asn_name","asn_domain","asn_route","asn_type","abuse_address","abuse_country","abuse_email","abuse_name","abuse_network","abuse_phone","company_name","company_domain","company_type","carrier_name","carrier_mcc","carrier_mnc","is_vpn","is_proxy","is_tor","is_relay","is_hosting","privacy_service"
"96.16.53.198",,,"a96-16-53-198.deploy.static.akamaitechnologies.com",,"Haarlem","North Holland","NL","2011","52.3808,4.6368","Europe/Amsterdam","AS20940","Akamai International B.V.","akamai.com","96.16.53.0/24","hosting","US, MA, Cambridge, 8 Cambridge Center, Mailstop 926-G, 02142","US","abuse@akamai.com","NOC United States","96.16.0.0/15","+1-617-444-2535","Akamai Technologies, Inc.","akamai.com","hosting",,,,false,false,false,false,true,""
"151.101.129.164",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","151.101.128.0/22","hosting","US, CA, San Francisco, PO Box 78266, 94107","US","abuse@fastly.com","Abuse Account","151.101.0.0/16","+1-415-496-9353","Fastly, Inc.","fastly.com","hosting",,,,false,false,false,false,true,""
"167.89.115.56",,,"o16789115x56.outbound-mail.sendgrid.net",,"Ashburn","Virginia","US","20147","39.0437,-77.4875","America/New_York","AS11377","SendGrid, Inc.","sendgrid.com","167.89.114.0/23","business","US, CO, Denver, 1800 California Street, Suite 500, 80202","US","abuse@sendgrid.com","Abuse Desk","167.89.0.0/17","+1-888-985-7363","SendGrid, Inc.","sendgrid.com","business",,,,false,false,false,false,false,""
"172.66.40.213",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.66.40.0/21","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"162.159.24.19",,,"ns3.serveriai.lt",true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","162.159.24.0/24","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","162.158.0.0/15","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"182.22.25.124",,,,,"Tokyo","Tokyo","JP","101-8656","35.6895,139.6917","Asia/Tokyo","AS23816","Yahoo Japan Corporation","yahoo.co.jp","182.22.0.0/17","isp","Uchikanda OS Bldg 4F, 2-12-6 Uchi-Kanda, Chiyoda-ku, Tokyo 101-0047, Japan","JP","hostmaster@nic.ad.jp","Japan Network Information Center","182.22.0.0/17","+81-3-5297-2311","Yahoo Japan Corporation","yahoo.co.jp","isp",,,,false,false,false,false,false,""
"18.65.39.5",,,"server-18-65-39-5.ams1.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","18.65.32.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","18.64.0.0/14","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"158.69.116.70",,,"ns520136.ip-158-69-116.net",,"Montréal","Quebec","CA","H3G","45.4987,-73.5793","America/Toronto","AS16276","OVH SAS","ovhcloud.com","158.69.0.0/16","hosting","CA, QC, Montreal, 800-1801 McGill College, H3A 2N4","CA","abuse@ovh.ca","Abuse","158.69.0.0/16","+1-855-684-5463","OVH Hosting, Inc.","ovh.net","hosting",,,,false,false,false,false,true,""
"209.99.64.51",,,"209-99-64-51.fwd.datafoundry.com",,"Austin","Texas","US","78701","30.2672,-97.7431","America/Chicago","AS40034","Confluence Networks Inc","confluence-networks.com","209.99.64.0/24","business","VG, TORTOLA, Road Town, 3rd Floor, J&C Building, P.O. Box 362, VG1110","VG","abuse@confluence-networks.com","Abuse Admin","209.99.64.0/24","+1-415-449-4704","Confluence Networks Inc","confluence-networks.com","business",,,,false,false,false,false,false,""
"104.26.0.87",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.26.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"66.29.146.44",,,"premium228-3.web-hosting.com",,"Phoenix","Arizona","US","85001","33.4484,-112.0740","America/Phoenix","AS22612","Namecheap, Inc.","namecheap.com","66.29.146.0/24","hosting","US, CA, Los Angeles, 11400 W. Olympic Blvd. Suite 200, 90064","US","abuse@namecheaphosting.com","Abuse team","66.29.146.44/32","+1-323-375-2822","Namecheap, Inc.","namecheap.com","hosting",,,,false,false,false,false,true,""
"162.159.129.87",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","162.159.128.0/19","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","162.158.0.0/15","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"54.86.192.92",,,"ec2-54-86-192-92.compute-1.amazonaws.com",,"Ashburn","Virginia","US","20147","39.0437,-77.4875","America/New_York","AS14618","Amazon.com, Inc.","amazon.com","54.86.0.0/16","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","54.64.0.0/11","+1-206-555-0000","Amazon Technologies Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"151.101.1.140",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","151.101.0.0/22","hosting","US, CA, San Francisco, PO Box 78266, 94107","US","abuse@fastly.com","Abuse Account","151.101.0.0/16","+1-415-496-9353","Fastly, Inc.","fastly.com","hosting",,,,false,false,false,false,true,""
"108.156.60.13",,,"server-108-156-60-13.ams1.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","108.156.56.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","108.156.0.0/14","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"151.101.129.105",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","151.101.128.0/22","hosting","US, CA, San Francisco, PO Box 78266, 94107","US","abuse@fastly.com","Abuse Account","151.101.0.0/16","+1-415-496-9353","Fastly, Inc.","fastly.com","hosting",,,,false,false,false,false,true,""
"216.17.72.72",,,,,"Minneapolis","Minnesota","US","55416","44.9497,-93.3373","America/Chicago","AS10242","US Internet Corp","usinternet.com","216.17.64.0/19","isp","US, MN, Minnetonka, 12450 Wayzata Blvd., 55305","US","hostmaster@usinternet.com","Kurt Lange","216.17.0.0-216.17.95.255","+1-952-253-3200","US Internet Corp","usinternet.com","isp",,,,false,false,false,false,false,""
"136.243.102.156",,,"static.156.102.243.136.clients.your-server.de",,"Falkenstein","Saxony","DE","08223","50.4779,12.3713","Europe/Berlin","AS24940","Hetzner Online GmbH","hetzner.de","136.243.0.0/16","hosting","Hetzner Online GmbH, Industriestrasse 25, D-91710 Gunzenhausen, Germany","DE","abuse@hetzner.com","Hetzner Online GmbH - Contact Role","136.243.102.128/26","+49 9831 505-0","Hetzner Online GmbH","hetzner.com","hosting",,,,false,false,false,false,true,""
"104.21.43.32",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.21.32.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"18.65.39.119",,,"server-18-65-39-119.ams1.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","18.65.32.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","18.64.0.0/14","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"104.22.1.162",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.86.110.170",,,"a104-86-110-170.deploy.static.akamaitechnologies.com",,"London","England","GB","EC1A","51.5085,-0.1257","Europe/London","AS20940","Akamai International B.V.","akamai.com","104.86.110.0/23","hosting","US, MA, Cambridge, 8 Cambridge Center, Mailstop 926-G, 02142","US","abuse@akamai.com","NOC United States","104.86.110.0/23","+1-617-444-2535","Akamai International, BV","akamai.com","hosting",,,,false,false,false,false,true,""
"192.0.78.184",,,,true,"San Francisco","California","US","94110","37.7509,-122.4153","America/Los_Angeles","AS2635","Automattic, Inc","automattic.com","192.0.78.0/24","hosting","US, CA, San Francisco, 60 29th Street #343, 94110","US","abuse@automattic.com","Abuse","192.0.64.0/18","+1-877-273-8550","Automattic, Inc","automattic.com","hosting",,,,false,false,false,false,true,""
"162.213.251.226",,,"premium87-1.web-hosting.com",,"Phoenix","Arizona","US","85001","33.4484,-112.0740","America/Phoenix","AS22612","Namecheap, Inc.","namecheap.com","162.213.251.0/24","hosting","US, CA, Los Angeles, 11400 W. Olympic Blvd. Suite 200, 90064","US","abuse@namecheaphosting.com","Abuse team","162.213.251.226/32","+1-323-375-2822","Namecheap, Inc.","namecheap.com","hosting",,,,false,false,false,false,true,""
"35.172.243.85",,,"ec2-35-172-243-85.compute-1.amazonaws.com",,"Ashburn","Virginia","US","20147","39.0437,-77.4875","America/New_York","AS14618","Amazon.com, Inc.","amazon.com","35.168.0.0/13","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","35.152.0.0-35.183.255.255","+1-206-555-0000","Amazon Technologies Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"83.171.239.89",,,"524.cluster-nbg1.de",,"Altdorf","Baden-Wurttemberg","DE","71155","48.6311,8.9963","Europe/Berlin","AS201206","Droptop GmbH","linevast.de","83.171.239.0/24","hosting","Am Grashorn 8, 14548, Schwielowsee, GERMANY","DE","abuse@linevast.de","Abuse-C Role","83.171.236.0/22","","Droptop GmbH","droptop.cz","hosting",,,,false,false,false,false,true,""
"172.67.175.69",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.160.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.21.61.131",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.21.48.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"76.76.21.98",,,,true,"Walnut","California","US","91789","34.0183,-117.8546","America/Los_Angeles","AS16509","Amazon.com, Inc.","amazon.com","76.76.21.0/24","hosting","US, CA, Walnut, 340 S LEMON AVE #4133, 91789","US","abuse@vercel.com","Abuse","76.76.21.0/24","+1-416-535-0123","Vercel, Inc","nextjs.org","business",,,,false,false,false,false,false,""
"72.247.176.64",,,"a72-247-176-64.deploy.static.akamaitechnologies.com",,"Manchester","England","GB","M1","53.4809,-2.2374","Europe/London","AS20940","Akamai International B.V.","akamai.com","72.247.176.0/24","hosting","US, MA, Cambridge, 8 Cambridge Center, Mailstop 926-G, 02142","US","abuse@akamai.com","NOC United States","72.247.176.0/24","+1-617-444-2535","Akamai International, BV","akamai.com","hosting",,,,false,false,false,false,true,""
"23.227.38.72",,,,true,"Ottawa","Ontario","CA","K2P","45.4166,-75.6904","America/Toronto","AS13335","Cloudflare, Inc.","cloudflare.com","23.227.38.0/23","hosting","CA, ON, Ottawa, 151 O'Connor Street, Ground floor, K2P 2L8","CA","abuse@shopify.com","Shopify Abuse","23.227.32.0/19","+1-888-746-7439","Shopify, Inc.","shopify.com","hosting",,,,false,false,false,false,true,""
"108.177.127.138",,,"el-in-f138.1e100.net",,"Groningen","Groningen","NL","9711","53.2192,6.5667","Europe/Amsterdam","AS15169","Google LLC","google.com","108.177.127.0/24","hosting","US, CA, Mountain View, 1600 Amphitheatre Parkway, 94043","US","network-abuse@google.com","Abuse","108.177.0.0/17","+1-650-253-0000","Google LLC","google.com","hosting",,,,false,false,false,false,true,""
"104.22.58.114",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.48.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
