b,d,n,r,u,c,a,q,domain,f,P,t,p
LC,100milefreepress.net,100 Mile Free Press,H,https://mediabiasfactcheck.com/100-mile-free-press-bias/,H,L,[],100milefreepress.net,,,,
FN,100percentfedup.com,100% Fed up,L,https://mediabiasfactcheck.com/100-percent-fed-up/,L,M,"['P', 'PS', 'LT', 'FFC']",100percentfedup.com,100PercentFEDUp,55.0,,
C,1011now.com,KOLN\KGIN - Lincoln News,H,https://mediabiasfactcheck.com/kolnkgin-lincoln-news-bias/,H,M,[],1011now.com,,,,
FN,10news.one,10News.one,L,https://mediabiasfactcheck.com/10news-one/,L,L,[],10news.one,10Newsdotone,27.0,10newsdotone,
C,10tv.com,WBNS-TV (10tv.com),H,https://mediabiasfactcheck.com/wbns-tv-10tv-com/,H,H,[],10tv.com,,,,
C,11alive.com,WXIA - 11alive.com,H,https://mediabiasfactcheck.com/wxia-11alive-com/,H,M,[],11alive.com,,64.0,,
FN,12minutos.com,12minutos.com,L,https://mediabiasfactcheck.com/12minutos-com/,L,L,['FN'],12minutos.com,,32.0,,
C,12news.com,12 News KPNX,H,https://mediabiasfactcheck.com/12-news-kpnx/,H,M,[],12news.com,,55.0,,
C,12newsnow.com,KBMT - 12NewsNow,H,https://mediabiasfactcheck.com/kbmt-12newsnow/,H,M,[],12newsnow.com,,54.0,,
C,13abc.com,WTVG - 13 Action News,H,https://mediabiasfactcheck.com/wtvg-13-action-news/,H,M,[],13abc.com,,,,
C,13newsnow.com,WVEC - 13NewsNow.com,H,https://mediabiasfactcheck.com/wvec-13newsnow/,H,M,[],13newsnow.com,,56.0,,
RC,13wham.com,WHAM - Rochester News,H,https://mediabiasfactcheck.com/wham-rochester-news-bias/,H,M,[],13wham.com,,,,
C,13wmaz.com,WMAZ - Macon News,H,https://mediabiasfactcheck.com/wmaz-macon-news-bias/,H,M,[],13wmaz.com,,,,
C,14news.com,WFIE - Evansville News,H,https://mediabiasfactcheck.com/wfie-evansville-news-bias/,H,M,[],14news.com,,,,
C,180report.com,OneEighty,H,https://mediabiasfactcheck.com/oneeighty/,H,N,[],180report.com,,15.0,,
RC,19fortyfive.com,1945 - 19fortyfive,MF,https://mediabiasfactcheck.com/1945-19fortyfive-com/,H,M,[],19fortyfive.com,,,,
L,19thnews.org,The 19th News,H,https://mediabiasfactcheck.com/the-19th-news/,H,M,[],19thnews.org,,,,
FN,2020conservative.com,2020 Conservative,VL,https://mediabiasfactcheck.com/2020-conservative-bias/,L,L,"['C', 'P', 'PS', 'LT', 'FC']",2020conservative.com,,,,
CP,2020electioncenter.com,2020ElectionCenter.com,VL,https://mediabiasfactcheck.com/2020electioncenter-com-bias/,L,H,[],2020electioncenter.com,,,,
CP,21stcenturywire.com,21st Century Wire,M,https://mediabiasfactcheck.com/21st-century-wire/,L,M,[],21stcenturywire.com,21WIRE.TV,64.0,21WIRE,
FN,247newsmedia.com,247 News Media,VL,https://mediabiasfactcheck.com/247-news-media/,L,N,[],247newsmedia.com,,12.0,,
C,247wallst.com,24/7 Wall St,H,https://mediabiasfactcheck.com/24-7-wall-st/,H,M,[],247wallst.com,,,,
FN,24jours.com,24jours.com,L,https://mediabiasfactcheck.com/24jours-com/,L,L,"['C', 'PS', 'LT', 'FFC', 'FN']",24jours.com,,,,
C,24ur.com,24ur.com,MF,https://mediabiasfactcheck.com/24ur-com/,H,H,[],24ur.com,,59.0,,
FN,24wpn.com,WorldPolitics News,L,https://mediabiasfactcheck.com/worldpolitics-news/,L,N,[],24wpn.com,,12.0,,
C,25newsnow.com,WEEK - Peoria News,H,https://mediabiasfactcheck.com/week-peoria-news-bias/,H,L,[],25newsnow.com,,,,
R,2ndvote.com,2ndVote,M,https://mediabiasfactcheck.com/2ndvote/,M,L,[],2ndvote.com,,39.0,2ndvote,
CP,369news.net,369 News,M,https://mediabiasfactcheck.com/369news/,L,L,[],369news.net,369UNIVERSE,34.0,,
C,38north.org,38 North,H,https://mediabiasfactcheck.com/38-north/,H,M,[],38north.org,38NorthNK,70.0,,
FN,3ccorp.net,3CCorp.net,L,https://mediabiasfactcheck.com/3ccorp-net/,L,N,[],3ccorp.net,,22.0,,
C,4029tv.com,KHBS/KHOG - Fort Smith News,H,https://mediabiasfactcheck.com/khbs-khog-fort-smith-news-bias/,H,M,[],4029tv.com,,,,
FN,4chan.org,4Chan,VL,https://mediabiasfactcheck.com/4chan-bias/,L,H,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'H']",4chan.org,,,,
C,5newsonline.com,KFSM Fort Smith-Fayetteville News,H,https://mediabiasfactcheck.com/kfsm-fort-smith-fayetteville-news-bias/,H,M,[],5newsonline.com,,,,
LC,604now.com,604 Now,MF,https://mediabiasfactcheck.com/604-now/,H,M,[],604now.com,,46.0,,
LC,6abc.com,WPVI - Philadelphia - Action News,H,https://mediabiasfactcheck.com/wpvi-philadelphia-action-news-bias/,H,H,[],6abc.com,,,,
RC,71republic.com,71 Republic,H,https://mediabiasfactcheck.com/71-republic/,H,N,[],71republic.com,71republic,35.0,71republicmedia,
CP,79days.news,79Days.News,VL,https://mediabiasfactcheck.com/79days-news/,L,H,[],79days.news,,20.0,,
RC,7news.com.au,7NEWS,M,https://mediabiasfactcheck.com/7news/,M,H,[],7news.com.au,7newssydney,66.0,7NEWS.com.au,
C,8newsnow.com,KLAS - Las Vegas News,H,https://mediabiasfactcheck.com/klas-las-vegas-news/,H,M,[],8newsnow.com,,,,
CP,911truth.org,911Truth.org,L,https://mediabiasfactcheck.com/911truth-org/,L,L,[],911truth.org,twowayradioshow,73.0,,
LC,972mag.com,972 Magazine,H,https://mediabiasfactcheck.com/972-magazine/,H,L,[],972mag.com,972magazine,67.0,972mag,
C,9news.com,9News - KUSA,H,https://mediabiasfactcheck.com/9news-kusa/,H,H,[],9news.com,,67.0,,
RC,9news.com.au,9 News (Australia),H,https://mediabiasfactcheck.com/9-news-australia/,H,H,[],9news.com.au,9News,79.0,9NewsAUS,
R,a1apac.org,America First Action SuperPAC,M,https://mediabiasfactcheck.com/america-first-action-superpac/,M,L,[],a1apac.org,,,,
R,aa.com.tr,Anadolu Agency,M,https://mediabiasfactcheck.com/anadolu-agency/,M,H,[],aa.com.tr,anadoluagencyenglish,84.0,,
PS,aaas.org,American association for the advancement of science.,VH,https://mediabiasfactcheck.com/american-association-for-the-advancement-of-science-aaas/,H,M,[],aaas.org,AAAS.Science,87.0,aaas,
C,aap.com.au,Australian Associated Press (AAP),H,https://mediabiasfactcheck.com/australian-associated-press-aap/,H,M,[],aap.com.au,,,,
PS,aap.org,American Academy of Pediatrics,VH,https://mediabiasfactcheck.com/american-academy-of-pediatrics/,H,M,[],aap.org,AmerAcadPeds,86.0,AmerAcadPeds,
FN,aapsonline.org,Association of American Physicians and Surgeons (AAPS),L,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,L,L,"['C', 'PS', 'LT', 'FFC', 'FC', 'M', 'PSE']",aapsonline.org,,64.0,,
FN,aattp.org,Americans Against the Tea Party (AATTP),L,https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/,L,N,[],aattp.org,,45.0,,
RC,aawsat.com,Asharq Al-Awsat,M,https://mediabiasfactcheck.com/asharq-al-awsat-2/,M,M,[],aawsat.com,,,,
LC,abbynews.com,Abbotsford News,H,https://mediabiasfactcheck.com/abbotsford-news-bias/,H,M,[],abbynews.com,,,,
RC,abc.es,ABC (Spain),H,https://mediabiasfactcheck.com/abc-spain/,H,H,[],abc.es,,80.0,,
LC,abc11.com,ABC11 Eyewitness News,H,https://mediabiasfactcheck.com/abc11-eyewitness-news/,H,M,[],abc11.com,abc11,74.0,ABC11_WTVD,
C,abc12.com,ABC12/WJRT-TV,H,https://mediabiasfactcheck.com/abc12-news-wjrt/,H,M,[],abc12.com,,57.0,,
LC,abc13.com,KTRK - ABC13 - Houston,H,https://mediabiasfactcheck.com/ktrk-abc13-houston-bias/,H,H,[],abc13.com,,,,
C,abc17news.com,KMIZ - Columbia News,H,https://mediabiasfactcheck.com/kmiz-columbia-news-bias/,H,M,[],abc17news.com,,,,
C,abc27.com,WHTM - Harrisburg News,H,https://mediabiasfactcheck.com/whtm-harrisburg-news/,H,M,[],abc27.com,,,,
LC,abc30.com,KFSN - ABC30 Fresno News,H,https://mediabiasfactcheck.com/kfsn-abc30-fresno-news-bias/,H,H,[],abc30.com,,,,
RC,abc3340.com,WBMA - Birmingham News,H,https://mediabiasfactcheck.com/wbma-birmingham-news/,H,M,[],abc3340.com,,,,
C,abc4.com,KTVX - Salt Lake City News,H,https://mediabiasfactcheck.com/ktvx-salt-lake-city-news/,H,M,[],abc4.com,,,,
